id,superid,impcost,impcost_adj,payback,reference_year,reference_ppi,fy,arc2,conserved,saved
UD0568,UD056804,2000.0,3180.0,0.63411540900444,2024,243.25,1999,2.7142,56565.0,1814.0
UD0620,UD062005,3648.0,5982.72,2.4816326530612,2024,243.25,2001,2.7142,30000.0,630.0
UD0621,UD062107,2220.0,3640.8,2.2981366459627,2024,243.25,2001,2.7142,14688.0,630.0
UD0625,UD062507,3000.0,5820.0,2.865329512894,2024,278.19,2001,2.4236,15600.0,655.0
UD0640,UD064006,7700.0,12782.0,4.2424242424242,2024,243.25,2002,2.7142,36540.0,1644.0
UD0641,UD064113,5000.0,8300.0,3.4458993797381,2024,262.98,2002,2.2614,32448.0,714.0
UD0645,UD064510,250.0,430.0,1.207729468599,2024,218.99,2002,2.4322,7405.0,207.0
UD0654,UD065405,200.0,306.0,0.48192771084337,2024,239.54,2002,2.4231,6500.0,228.0
UD0666,UD066615,720.0,1152.0,2.8235294117647,2024,243.25,2003,2.7142,4700.0,130.0
UD0689,UD068917,58.0,104.4,0.33142857142857,2024,278.19,2004,2.4236,1630.0,50.0
UD0723,UD072313,500.0,790.0,0.35137034434294,2024,262.98,2005,2.4131,34560.0,864.0
UD0743,UD074320,500.0,755.0,0.37,2024,262.98,2006,2.4221,22680.0,1066.0
UD0752,UD075203,225.0,384.75,0.06,2024,278.19,2006,2.4236,61380.0,1227.0
UD0775,UD077507,2200.0,3102.0,21.78,2024,262.98,2008,2.7145,1947.0,101.0
UD0786,UD078611,1000.0,1590.0,3.3,2024,278.19,2008,2.4236,6400.0,198.0
UD0791,UD079117,1000.0,1550.0,1.81,2024,278.19,2009,2.4236,14000.0,1568.0
UD0820,UD082014,4550.0,6233.5,0.92,2024,262.98,2010,2.7231,-1037.0,-12942.0
UF0036,UF003606,42000.0,109200.0,1.6984794564866,2024,278.19,1992,2.2621,380422.0,24728.0
UF0050,UF005009,550.0,1386.0,0.20700037636432,2024,278.19,1993,2.4236,33118.0,2657.0
UF0067,UF006710,2205.0,4476.15,2.9597315436242,2024,262.98,1993,2.7261,16706.0,745.0
UF0079,UF007905,1902.0,3081.24,2.3394833948339,2024,216.87,1994,2.4133,8792.0,813.0
UF0095,UF009507,794.0,1286.28,1.4332129963899,2024,216.87,1994,2.4133,7620.0,554.0
UF0108,UF010806,2000.0,4800.0,0.65082980800521,2024,278.19,1995,2.4236,38980.0,3073.0
UF0109,UF010907,1500.0,2595.0,0.14808964359759,2024,239.54,1995,2.6242,168816.0,10129.0
UF0129,UF012910,1000.0,2400.0,0.28776978417266,2024,278.19,1995,2.4236,51876.0,3475.0
UF0142,UF014205,500.0,1175.0,0.49455984174085,2024,278.19,1996,2.4236,13189.0,1011.0
UF0150,UF015004,700.0,1645.0,0.16920473773266,2024,278.19,1996,2.4236,57444.0,4137.0
UF0159,UF015903,1350.0,3172.5,0.41718170580964,2024,278.19,1996,2.4236,66237.0,3236.0
UF0170,UF017004,1550.0,3518.5,0.32734952481521,2024,278.19,1997,2.4236,92907.0,4735.0
UF0179,UF017904,3700.0,6808.0,1.2865090403338,2024,262.98,1997,2.7272,36049.0,2052.0
UF0184,UF018406,200.0,276.0,0.15337423312883,2024,189.87,1997,2.2123,80.0,1304.0
UF0205,UF020506,40806.0,89773.2,3.000882482718,2024,278.19,1998,2.3212,302169.0,13598.0
UF0222,UF022204,14000.0,24780.0,3.3317467872442,2024,262.98,1999,2.1332,77960.0,3822.0
UF0263,UF026304,1800.0,2988.0,0.85918854415274,2024,243.25,2000,2.7142,11430.0,2095.0
UF0264,UF026407,60448.0,93089.92,3.6265898728102,2024,216.87,2000,2.4133,302169.0,14203.0
UF0269,UF026906,2500.0,3300.0,0.12352388952023,2024,189.87,2001,2.2511,4103.0,20239.0
UF0272,UF027206,416.0,807.04,0.35284139100933,2024,278.19,2001,2.3212,25498.0,1179.0
UF0295,UF029508,172405.0,355154.3,3.9066642496204,2024,248.28,2002,2.7491,938961.0,44131.0
UF0309,UF030904,256.0,343.04,0.26694473409802,2024,189.87,2002,2.2511,15977.0,959.0
UF0318,UF031810,2358.0,3867.12,0.99746192893401,2024,262.98,2003,2.7132,41473.0,2364.0
UF0344,UF034406,150.0,270.0,0.10204081632653,2024,278.19,2004,2.7111,22272.0,1470.0
UF0356,UF035608,245.0,387.1,2.5412828810887,2024,243.25,2005,2.7142,1752.0,87.6
UF0364,UF036406,979.0,1546.82,1.2101359703337,2024,243.25,2005,2.7142,5493.0,809.0
UF0377,UF037708,1134871.0,1713655.21,1.81,2024,262.98,2006,2.3417,8760000.0,613200.0
UF0385,UF038506,138.0,208.38,0.24,2024,262.98,2006,2.4227,5896.0,572.0
UF0404,UF040407,15174.0,25037.1,2.72,2024,278.19,2007,2.1321,2431.0,5571.0
UL0108,UL010805,7000.0,16590.0,1.3384321223709,2024,427.93,1994,2.2426,1216.0,5230.0
UL0110,UL011004,10016.0,15725.12,1.981796596755,2024,243.25,1994,2.7142,142438.0,5054.0
UL0111,UL011102,9840.0,15940.8,2.2501715069746,2024,216.87,1994,2.4133,78253.0,4373.0
UL0114,UL011406,2370.0,3720.9,0.97051597051597,2024,243.25,1994,2.7142,74150.0,2442.0
UL0121,UL012103,3185.0,7644.0,2.2604684173172,2024,278.19,1995,2.3212,,1409.0
UL0123,UL012303,3250.0,5135.0,0.71475698262591,2024,216.87,1995,2.4133,93787.0,4547.0
UL0138,UL013807,2000.0,3460.0,1.0065425264217,2024,239.54,1995,2.1233,1204.0,1987.0
UL0145,UL014505,60.0,144.0,0.0020373514431239,2024,278.19,1995,2.4236,652110.0,29450.0
UL0174,UL017404,20.0,33.6,0.022935779816514,2024,239.54,1996,2.4231,19343.0,396.0
UL0190,UL019004,20.0,32.4,0.02125398512221,2024,239.54,1997,2.4231,15826.0,941.0
UL0192,UL019202,152.0,273.6,0.82162162162162,2024,262.98,1998,2.4221,4103.0,96.0
UL0196,UL019601,20.0,32.0,0.0028078056998456,2024,239.54,1998,2.4231,258793.0,7123.0
UL0203,UL020303,15.0,33.0,0.019685039370079,2024,278.19,1998,2.7111,15533.0,762.0
UL0207,UL020703,163800.0,342342.0,2.1986577181208,2024,427.93,1998,2.2426,18790.0,74500.0
UL0223,UL022301,101.0,215.13,0.14225352112676,2024,278.19,1999,2.7111,16706.0,606.0
UM0004,UM000405,3560.0,8722.0,0.2421768707483,2024,278.19,1994,2.1135,4016.0,14700.0
UM0008,UM000805,4762.0,6857.28,0.56381719156997,2024,189.87,1994,2.2514,2797.0,8446.0
UM0013,UM001306,6400.0,12736.0,2.4160060400151,2024,262.98,1994,2.7231,564.0,2649.0
UM0020,UM002006,200.0,388.0,1.3888888888889,2024,262.98,1995,2.1213,37.0,144.0
UM0035,UM003504,6000.0,11640.0,0.97751710654936,2024,262.98,1995,2.7243,1194.0,6138.0
UM0050,UM005003,1000.0,2180.0,0.29146021568056,2024,427.93,1996,2.1243,787.0,3431.0
